# GENERATED by kit-plan.sh. The plan is TEXT; .project/index.db is derived from it.
# Do not edit by hand -- re-run kit-plan.sh. Committed on purpose: docs/adr/0004-where-the-plan-lives.md
#goal	default
#created	2026-08-17T02:49:19Z
#tasks_digest	211874695-5961
#columns	goal_id	task_id	layer	rank	score	cluster
default	T-20260808-record-how-a-task-was-executed-so-kit-wo	0	1	6.000	3
default	T-20260817-kit-index-deletes-the-plan-so-task-conte	0	2	6.000	3
default	T-20260813-nine-criticals-predate-summary-and-canno	0	3	5.000	3
default	T-20260817-one-shared-file-merges-two-whole-epics-s	0	4	5.000	3
default	T-20260801-nothing-invokes-kit-finding-so-the-findi	0	5	3.000	3
default	T-20260808-co-change-has-no-eval-harness-so-its-sco	0	6	3.000	3
default	T-20260808-task-state-cannot-express-no-longer-rele	0	7	3.000	3
default	T-20260809-harden-the-schema-so-a-null-cannot-erase	0	8	3.000	3
default	T-20260812-commits-vanish-between-rev-list-and-the-	0	9	3.000	3
default	T-20260814-the-absent-counter-notice-fires-on-every	0	10	3.000	3
default	T-20260817-a-cluster-pack-file-list-ignores-declare	0	11	3.000	3
default	T-20260817-a-touches-edge-is-never-checked-against-	0	12	3.000	3
default	T-20260808-record-which-mechanism-produced-a-findin	0	13	2.000	3
default	T-20260809-a-claim-audit-before-a-task-closes-names	0	14	2.000	3
default	T-20260809-the-unverified-tier-floor-message-names-	0	15	2.000	3
default	T-20260811-harden-the-review-retry-loop-against-its	0	16	2.000	3
default	T-20260811-restore-session-state-from-checkpoint-co	0	17	2.000	3
default	T-20260812-an-uninstrumented-project-reports-the-sa	0	18	2.000	3
default	T-20260814-a-deliberate-compromise-cannot-be-record	0	19	2.000	3
default	T-20260814-a-fresh-adoption-reports-none-outstandin	0	20	2.000	3
default	T-20260814-a-review-narrative-has-nowhere-to-live	0	21	2.000	3
default	T-20260814-a-reviewer-s-verdict-and-narrative-are-d	0	22	2.000	3
default	T-20260817-task-context-reads-the-task-spec-at-step	0	23	2.000	3
default	T-20260818-nothing-reviews-the-plan-so-a-wrong-orde	0	24	2.000	3
default	T-20260731-validate-the-priority-weights-against-es	0	25	1.000	3
default	T-20260801-finding-vocabulary-has-no-class-for-test	0	26	1.000	3
default	T-20260801-kit-plan-has-no-notion-of-prerequisite-w	0	27	1.000	3
